1F468 200D 2764 FE0F 200D 1F468             ; RGI_Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    # E2.0   [1] (👨‍❤️‍👨)
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468  ; RGI_Emoji_ZWJ_Sequence  ; kiss: man, man                                                 # E2.0   [1] (👨‍❤️‍💋‍👨)
1F468 200D 1F466                            ; RGI_Emoji_ZWJ_Sequence  ; family: man, boy                                               # E4.0   [1] (👨‍👦)
1F468 200D 1F466 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, boy, boy                                          # E4.0   [1] (👨‍👦‍👦)
1F468 200D 1F467                            ; RGI_Emoji_ZWJ_Sequence  ; family: man, girl                                              # E4.0   [1] (👨‍👧)
1F468 200D 1F467 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, girl, boy                                         # E4.0   [1] (👨‍👧‍👦)
1F468 200D 1F467 200D 1F467                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, girl, girl                                        # E4.0   [1] (👨‍👧‍👧)
1F468 200D 1F468 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, boy                                          # E2.0   [1] (👨‍👨‍👦)
1F468 200D 1F468 200D 1F466 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, boy, boy                                     # E2.0   [1] (👨‍👨‍👦‍👦)
1F468 200D 1F468 200D 1F467                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, girl                                         # E2.0   [1] (👨‍👨‍👧)
1F468 200D 1F468 200D 1F467 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, girl, boy                                    # E2.0   [1] (👨‍👨‍👧‍👦)
1F468 200D 1F468 200D 1F467 200D 1F467      ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, girl, girl                                   # E2.0   [1] (👨‍👨‍👧‍👧)
1F468 200D 1F469 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, boy                                        # E2.0   [1] (👨‍👩‍👦)
1F468 200D 1F469 200D 1F466 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, boy, boy                                   # E2.0   [1] (👨‍👩‍👦‍👦)
1F468 200D 1F469 200D 1F467                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, girl                                       # E2.0   [1] (👨‍👩‍👧)
1F468 200D 1F469 200D 1F467 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, girl, boy                                  # E2.0   [1] (👨‍👩‍👧‍👦)
1F468 200D 1F469 200D 1F467 200D 1F467      ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, girl, girl                                 # E2.0   [1] (👨‍👩‍👧‍👧)
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FB ; RGI_Emoji_ZWJ_Sequence  ; couple with heart: man, man, light skin tone                   # E13.1  [1] (👨🏻‍❤️‍👨🏻)
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FC ; RGI_Emoji_ZWJ_Sequence  ; couple with heart: man, man, light skin tone, medium-light skin tone #E13.1[1] (👨🏻‍❤️‍👨🏼)
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FD ; RGI_Emoji_ZWJ_Sequence  ; couple with heart: man, man, light skin tone, medium skin tone # E13.1  [1] (👨🏻‍❤️‍👨🏽)
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FE ; RGI_Emoji_ZWJ_Sequence  ; couple with heart: man, man, light skin tone, medium-dark skin tone #E13.1[1] (👨🏻‍❤️‍👨🏾)
